"station","city","ste","lon","lat"
"Monash","Canberra - Queanbeyan (Canberra Part)","8",149.094,-35.4183
"Florey","Canberra - Queanbeyan (Canberra Part)","8",149.0435,-35.2206
"Civic","Canberra - Queanbeyan (Canberra Part)","8",149.1316,-35.2853
"monash","Canberra - Queanbeyan (Canberra Part)","8",149.094029,-35.41832553
"florey","Canberra - Queanbeyan (Canberra Part)","8",149.0433754,-35.22040697
"civic","Canberra - Queanbeyan (Canberra Part)","8",149.1315169,-35.28540004
"Stokes Hill","Darwin","7",130.8506,-12.467
"Winellie","Darwin","7",130.8934,-12.4243
"Palmerston","Darwin","7",130.9485,-12.5078
"winnellie","Darwin","7",130.893341,-12.424753
"stokes_hill","Darwin","7",130.8506216,-12.4670202
"palmerston","Darwin","7",130.948248,-12.50773
"Cygnet","Hobart","6",147.072,-43.159
"New Norfolk","Hobart","6",147.054,-42.776
"Mornington","Hobart","6",147.404,-42.861
"Judbury","Hobart","6",146.94,-43.01
"Huonville","Hobart","6",147.05,-43.03
"New Town","Hobart","6",147.315,-42.855
"Geeveston","Hobart","6",146.925,-43.17
"Gretna","Hobart","6",146.936,-42.684
"Merton","Hobart","6",147.271,-42.842
"Bream Creek","Hobart","6",147.817,-42.819
"new_norfolk","Hobart","6",147.054,-42.776
"mornington","Hobart","6",147.404,-42.861
"judbury","Hobart","6",146.94,-43.01
"huonville","Hobart","6",147.05,-43.03
"hobart","Hobart","6",147.315,-42.855
"gretna","Hobart","6",146.936,-42.684
"glenorchy","Hobart","6",147.271,-42.842
"geeveston","Hobart","6",146.925,-43.17
"cygnet","Hobart","6",147.072,-43.159
"bream_creek","Hobart","6",147.817,-42.819
"Quinns Rocks","Perth (WA)","5",115.7044,-31.6713
"Armadale","Perth (WA)","5",116.0011,-32.1039
"South_Lake","Perth (WA)","5",115.8348,-32.1106
"Duncraig","Perth (WA)","5",115.7829,-31.8264
"Caversham","Perth (WA)","5",115.9774,-31.8758
"south_lake","Perth (WA)","5",115.834733,-32.110566
"quinns_rocks","Perth (WA)","5",115.697155,-31.67829
"north_rockingham","Perth (WA)","5",115.7485,-32.2627
"duncraig","Perth (WA)","5",115.782864,-31.826394
"caversham","Perth (WA)","5",115.977364,-31.875762
"armadale","Perth (WA)","5",115.9877431,-32.1548279
"Le Fevre 1","Adelaide","4",138.4963,-34.8386
"Netley","Adelaide","4",138.5499,-34.9439
"CBD","Adelaide","4",138.6009,-34.9288
"western_adelaide_netley","Adelaide","4",138.5491103,-34.94375403
"sellicks_beach","Adelaide","4",138.451696382,-35.3346700289999
"northern_adelaide_elizabeth_downs","Adelaide","4",138.6957547,-34.69849194
"north_western_adelaide_le_fevre_2","Adelaide","4",138.4978623,-34.79128983
"north_western_adelaide_le_fevre_1","Adelaide","4",138.496362,-34.838648
"golden_grove","Adelaide","4",138.7365503,-34.783113273
"adelaide_cbd","Adelaide","4",138.6009505,-34.9288545
"North Ward","Townsville","3",146.80715,-19.2509
"north_ward","Townsville","3",146.8073,-19.2509
"Toowoomba","Toowoomba","3",151.9319,-27.5352
"north_toowoomba","Toowoomba","3",151.9532817,-27.55046986
"jondaryan","Toowoomba","3",151.593312,-27.371333
"Nambour","Sunshine Coast","3",152.9397,-26.6429
"Mountain Creek","Sunshine Coast","3",153.1039,-26.6917
"Cairns","Cairns","3",145.7436,-16.9616
"Southport","Gold Coast - Tweed Heads (Gold Coast Part)","3",153.4022,-27.9612
"Springwood","Gold Coast - Tweed Heads (Gold Coast Part)","3",153.13595,-27.6125
"North Maclean","Gold Coast - Tweed Heads (Gold Coast Part)","3",153.03,-27.7708
"springwood","Gold Coast - Tweed Heads (Gold Coast Part)","3",153.1358264,-27.61249555
"south_port","Gold Coast - Tweed Heads (Gold Coast Part)","3",153.4023155,-27.96099905
"luscombe","Gold Coast - Tweed Heads (Gold Coast Part)","3",153.2014,-27.7747
"arundel","Gold Coast - Tweed Heads (Gold Coast Part)","3",153.365592,-27.944075
"Wynnum West","Brisbane","3",153.14975,-27.43375
"Wynnum","Brisbane","3",153.15805,-27.4296
"Springwood","Brisbane","3",153.13595,-27.6125
"South Brisbane","Brisbane","3",153.03205,-27.4848
"Rocklea","Brisbane","3",152.9932,-27.5358
"Flinders View","Brisbane","3",152.77405,-27.6528
"Mutdapilly","Brisbane","3",152.65095,-27.7528
"Lytton","Brisbane","3",153.15285,-27.4065
"Deagon","Brisbane","3",153.0479,-27.3292
