date,death,cvd,resp
1987-01-01,130,65,13
1987-01-02,150,73,14
1987-01-03,101,43,11
1987-01-04,135,72,7
1987-01-05,126,64,12
1987-01-06,130,63,12
1987-01-07,129,72,12
1987-01-08,109,51,13
1987-01-09,125,62,7
1987-01-10,153,90,11
1987-01-11,124,69,5
1987-01-12,111,57,11
1987-01-13,104,50,9
1987-01-14,118,54,6
1987-01-15,109,54,10
1987-01-16,125,60,11
1987-01-17,128,58,16
1987-01-18,141,86,8
1987-01-19,130,74,12
1987-01-20,133,71,9
1987-01-21,115,52,10
1987-01-22,121,60,10
1987-01-23,107,47,7
1987-01-24,123,72,8
1987-01-25,107,43,8
1987-01-26,116,67,12
1987-01-27,130,73,7
1987-01-28,114,55,9
1987-01-29,123,54,8
1987-01-30,103,50,11
1987-01-31,115,64,5
1987-02-01,127,70,6
1987-02-02,131,58,14
1987-02-03,112,55,9
1987-02-04,126,61,6
1987-02-05,127,71,7
1987-02-06,103,48,5
1987-02-07,128,67,15
1987-02-08,133,61,8
1987-02-09,115,57,7
1987-02-10,124,53,11
1987-02-11,117,62,13
1987-02-12,116,53,10
1987-02-13,128,70,11
1987-02-14,119,60,11
1987-02-15,115,55,6
1987-02-16,107,54,6
1987-02-17,111,63,6
1987-02-18,116,61,4
1987-02-19,115,48,15
1987-02-20,124,58,6
1987-02-21,119,65,6
1987-02-22,126,66,12
1987-02-23,147,74,11
1987-02-24,118,58,12
1987-02-25,138,74,7
1987-02-26,119,61,10
1987-02-27,100,53,9
1987-02-28,119,65,7
1987-03-01,123,58,14
1987-03-02,125,64,6
1987-03-03,124,56,7
1987-03-04,113,51,8
1987-03-05,125,66,9
1987-03-06,108,44,8
1987-03-07,114,60,8
1987-03-08,109,59,6
1987-03-09,126,57,7
1987-03-10,113,59,5
1987-03-11,112,62,9
1987-03-12,125,64,5
1987-03-13,128,72,9
1987-03-14,106,50,7
1987-03-15,113,52,10
1987-03-16,117,68,6
1987-03-17,127,65,11
1987-03-18,120,62,13
1987-03-19,121,56,10
1987-03-20,127,64,5
1987-03-21,120,46,13
1987-03-22,100,53,6
